id,citibike_station_id,latitude,longitude,label,address,created_at,updated_at
192,410,40.72066442000000000000,-73.98517977000000000000,Suffolk St & Stanton St,"",2013-07-10 23:13:57.162883,2013-07-10 23:13:57.162883
193,411,40.72228087000000000000,-73.97668709000000000000,E 6 St & Avenue D,"",2013-07-10 23:13:57.176627,2013-07-10 23:13:57.176627
194,412,40.71581550000000000000,-73.99422366000000000000,Forsyth St & Canal St,"",2013-07-10 23:13:57.189546,2013-07-10 23:13:57.189546
195,414,40.70281858000000000000,-73.98765761999999000000,Pearl St & Anchorage Pl,"",2013-07-10 23:13:57.202177,2013-07-10 23:13:57.202177
196,415,40.70471770000000000000,-74.00926027000000000000,Pearl St & Hanover Square,"",2013-07-10 23:13:57.214181,2013-07-10 23:13:57.214181
197,416,40.68753406000000000000,-73.97265183000000000000,Cumberland St & Lafayette Ave,"",2013-07-10 23:13:57.226239,2013-07-10 23:13:57.226239
198,417,40.71291224000000000000,-74.01020234000001000000,Barclay St & Church St,"",2013-07-10 23:13:57.238918,2013-07-10 23:13:57.238918
199,418,40.70224000000000000000,-73.98257800000000000000,Front St & Gold St,"",2013-07-10 23:13:57.269139,2013-07-10 23:13:57.269139
200,419,40.69580705000000000000,-73.97355569000000000000,Carlton Ave & Park Ave,"",2013-07-10 23:13:57.28399,2013-07-10 23:13:57.28399
201,420,40.68764484000000000000,-73.96968902000000000000,Clermont Ave & Lafayette Ave,"",2013-07-10 23:13:57.317007,2013-07-10 23:13:57.317007
202,421,40.69573398000000000000,-73.97129667999999000000,Clermont Ave & Park Ave,"",2013-07-10 23:13:57.330472,2013-07-10 23:13:57.330472
203,422,40.77051300000000000000,-73.98803800000000000000,W 59 St & 10 Ave,"",2013-07-10 23:13:57.363605,2013-07-10 23:13:57.363605
204,423,40.76584941000000000000,-73.98690506000000000000,W 54 St & 9 Ave,"",2013-07-10 23:13:57.377021,2013-07-10 23:13:57.377021
205,426,40.71754834000000000000,-74.01322069000000000000,West St & Chambers St,"",2013-07-10 23:13:57.412401,2013-07-10 23:13:57.412401
