id,active_stations,total_stations,created_at,updated_at,last_update
40112,323,331,2014-04-17 07:00:05.234677,2014-04-17 07:00:05.234677,1397717946
40113,323,331,2014-04-17 07:10:05.456244,2014-04-17 07:10:05.456244,1397718548
40114,323,331,2014-04-17 07:20:05.06599,2014-04-17 07:20:05.06599,1397719158
40115,323,331,2014-04-17 07:30:05.893573,2014-04-17 07:30:05.893573,1397719753
40116,323,331,2014-04-17 07:40:05.860781,2014-04-17 07:40:05.860781,1397720364
40117,323,331,2014-04-17 07:50:05.720165,2014-04-17 07:50:05.720165,1397720949
40118,323,331,2014-04-17 08:00:06.070329,2014-04-17 08:00:06.070329,1397721547
40119,323,331,2014-04-17 08:10:04.965819,2014-04-17 08:10:04.965819,1397722153
40120,323,331,2014-04-17 08:20:05.708647,2014-04-17 08:20:05.708647,1397722754
40121,323,331,2014-04-17 08:30:05.175298,2014-04-17 08:30:05.175298,1397723349
40122,323,331,2014-04-17 08:40:04.966401,2014-04-17 08:40:04.966401,1397723956
40123,323,331,2014-04-17 08:50:05.81953,2014-04-17 08:50:05.81953,1397724554
40124,323,331,2014-04-17 09:00:05.776082,2014-04-17 09:00:05.776082,1397725152
40125,323,331,2014-04-17 09:10:05.846158,2014-04-17 09:10:05.846158,1397725746
40126,323,331,2014-04-17 09:20:05.748125,2014-04-17 09:20:05.748125,1397726344
40127,323,331,2014-04-17 09:30:05.448583,2014-04-17 09:30:05.448583,1397726950
40128,323,331,2014-04-17 09:40:05.003783,2014-04-17 09:40:05.003783,1397727555
40129,323,331,2014-04-17 09:50:05.758717,2014-04-17 09:50:05.758717,1397728145
40130,323,331,2014-04-17 10:00:05.826799,2014-04-17 10:00:05.826799,1397728759
40131,323,331,2014-04-17 10:10:05.100053,2014-04-17 10:10:05.100053,1397729346
40132,323,331,2014-04-17 10:20:04.769998,2014-04-17 10:20:04.769998,1397729952
40133,323,331,2014-04-17 10:30:05.794406,2014-04-17 10:30:05.794406,1397730550
40134,323,331,2014-04-17 10:40:05.208992,2014-04-17 10:40:05.208992,1397731151
40135,323,331,2014-04-17 10:50:04.956727,2014-04-17 10:50:04.956727,1397731753
40136,323,331,2014-04-17 11:00:05.724438,2014-04-17 11:00:05.724438,1397732347
40137,323,331,2014-04-17 11:10:05.354163,2014-04-17 11:10:05.354163,1397732954
40138,323,331,2014-04-17 11:20:05.241268,2014-04-17 11:20:05.241268,1397733551
40139,323,331,2014-04-17 11:30:05.363074,2014-04-17 11:30:05.363074,1397734203
40140,323,331,2014-04-17 11:40:05.202939,2014-04-17 11:40:05.202939,1397734751
40141,323,331,2014-04-17 11:50:05.078133,2014-04-17 11:50:05.078133,1397735353
40142,323,331,2014-04-17 12:00:05.63028,2014-04-17 12:00:05.63028,1397735948
40143,323,331,2014-04-17 12:10:05.447796,2014-04-17 12:10:05.447796,1397736555
40144,323,331,2014-04-17 12:20:05.263002,2014-04-17 12:20:05.263002,1397737152
40145,323,331,2014-04-17 12:30:04.955234,2014-04-17 12:30:04.955234,1397737746
40146,323,331,2014-04-17 12:40:04.811769,2014-04-17 12:40:04.811769,1397738360
40147,323,331,2014-04-17 12:50:07.284323,2014-04-17 12:50:07.284323,1397738949
40148,323,331,2014-04-17 13:00:06.865586,2014-04-17 13:00:06.865586,1397739555
40149,323,331,2014-04-17 13:10:05.74513,2014-04-17 13:10:05.74513,1397740157
40150,323,331,2014-04-17 13:20:05.206425,2014-04-17 13:20:05.206425,1397740756
40151,323,331,2014-04-17 13:30:05.169058,2014-04-17 13:30:05.169058,1397741343
40152,323,331,2014-04-17 13:40:05.236339,2014-04-17 13:40:05.236339,1397741953
40153,323,331,2014-04-17 13:50:04.808498,2014-04-17 13:50:04.808498,1397742550
